Name,Team,Positon,Age,Apps,HeightCM,WeightKG,Goals,Assists,Passes,Wins,Losses,Yellowcards,Redcards,Fouls,Wins_ratio,Yellowcardsd_ratio,Fouls_ratio,Passes_ratio,Ycards_ratio_dicretized,Fouls_ratio_dicretized,Goals_ratio
Javier Manquillo,Newcastle United,Defender,27,103,178.0,76.0,1,5,2459,29,49,15,0,78,0.2815533980582524,0.14563106796116504,0.7572815533980582,23.87378640776699,High,Medium,0.009708737864077669
Jamal Lewis,Newcastle United,Defender,23,52,178.0,70.0,1,1,1694,10,36,8,0,33,0.19230769230769232,0.15384615384615385,0.6346153846153846,32.57692307692308,High,Medium,0.019230769230769232
Jacob Murphy,Newcastle United,Midfielder,26,58,179.0,74.0,3,4,734,11,34,3,0,35,0.1896551724137931,0.05172413793103448,0.603448275862069,12.655172413793103,Low,Medium,0.05172413793103448
Jonjo Shelvey,Newcastle United,Midfielder,29,241,184.0,80.0,21,26,10081,85,97,39,4,203,0.35269709543568467,0.16182572614107885,0.8423236514522822,41.829875518672196,High,Medium,0.08713692946058091
Matt Ritchie,Newcastle United,Midfielder,31,144,172.0,76.0,11,22,4496,43,63,26,0,170,0.2986111111111111,0.18055555555555555,1.1805555555555556,31.22222222222222,High,High,0.0763888888888889
Isaac Hayden,Newcastle United,Midfielder,26,104,185.0,79.0,3,6,2836,36,42,22,2,125,0.34615384615384615,0.21153846153846154,1.2019230769230769,27.26923076923077,High,High,0.028846153846153848
Miguel AlmirÃ³n,Newcastle United,Midfielder,27,78,174.0,70.0,8,3,1856,25,33,8,0,54,0.32051282051282054,0.10256410256410256,0.6923076923076923,23.794871794871796,Medium,Medium,0.10256410256410256
Christian Atsu,Newcastle United,Midfielder,29,80,165.0,65.0,3,6,1096,25,32,5,0,34,0.3125,0.0625,0.425,13.7,Medium,Low,0.0375
Sean Longstaff,Newcastle United,Midfielder,23,52,180.0,65.0,2,2,1446,19,23,6,1,44,0.36538461538461536,0.11538461538461539,0.8461538461538461,27.807692307692307,Medium,Medium,0.038461538461538464
Jeff Hendrick,Newcastle United,Midfielder,29,143,185.0,79.0,11,6,3547,48,64,20,2,111,0.3356643356643357,0.13986013986013987,0.7762237762237763,24.804195804195803,High,Medium,0.07692307692307693
Ryan Fraser,Newcastle United,Midfielder,27,138,163.0,70.0,16,28,3713,37,68,7,1,45,0.26811594202898553,0.050724637681159424,0.32608695652173914,26.905797101449274,Low,Low,0.11594202898550725
Henri Saivet,Newcastle United,Midfielder,30,5,174.0,76.0,1,0,106,3,2,0,0,1,0.6,0.0,0.2,21.2,Low,Low,0.2
Elliot Anderson,Newcastle United,Midfielder,18,1,184.0,74.0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,1.0,Low,Low,0.0
Joseph Willock,Newcastle United,Midfielder,21,52,179.0,71.0,7,1,666,18,18,3,0,28,0.34615384615384615,0.057692307692307696,0.5384615384615384,12.807692307692308,Medium,Low,0.1346153846153846
Matthew Longstaff,Newcastle United,Midfielder,21,14,179.64,74.0,2,0,394,2,8,1,0,9,0.14285714285714285,0.07142857142857142,0.6428571428571429,28.142857142857142,Medium,Medium,0.14285714285714285
Andy Carroll,Newcastle United,Forward,32,247,193.0,79.0,54,22,4817,83,101,34,2,328,0.3360323886639676,0.13765182186234817,1.3279352226720649,19.502024291497975,High,High,0.21862348178137653
Joelinton,Newcastle United,Forward,24,68,186.0,81.0,6,4,1390,19,29,10,0,56,0.27941176470588236,0.14705882352941177,0.8235294117647058,20.441176470588236,High,Medium,0.08823529411764706
Allan Saint-Maximin,Newcastle United,Forward,24,49,173.0,67.0,6,8,797,18,19,0,0,28,0.3673469387755102,0.0,0.5714285714285714,16.26530612244898,Low,Low,0.12244897959183673
Dwight Gayle,Newcastle United,Forward,31,135,174.0,78.0,26,7,1290,30,73,8,1,81,0.2222222222222222,0.05925925925925926,0.6,9.555555555555555,Medium,Medium,0.1925925925925926
Callum Wilson,Newcastle United,Forward,29,152,180.0,66.0,53,17,2006,48,70,15,0,215,0.3157894736842105,0.09868421052631579,1.4144736842105263,13.197368421052632,Medium,High,0.34868421052631576
Wes Foderingham,Sheffield United,Goalkeeper,30,0,185.0,75.0,0,0,0,0,0,0,0,0,,,,,,,
Simon Moore,Sheffield United,Goalkeeper,30,2,191.0,83.0,0,0,44,0,1,0,0,0,0.0,0.0,0.0,22.0,Low,Low,0.0
Aaron Ramsdale,Sheffield United,Goalkeeper,23,72,188.0,77.0,0,1,1869,14,49,1,0,1,0.19444444444444445,0.013888888888888888,0.013888888888888888,25.958333333333332,Low,Low,0.0
George Baldock,Sheffield United,Defender,28,68,178.0,71.0,2,5,1951,18,36,12,0,91,0.2647058823529412,0.17647058823529413,1.338235294117647,28.691176470588236,High,High,0.029411764705882353
Enda Stevens,Sheffield United,Defender,30,72,183.0,78.0,2,4,2668,18,38,13,0,73,0.25,0.18055555555555555,1.0138888888888888,37.05555555555556,High,High,0.027777777777777776
Jack O'Connell,Sheffield United,Defender,27,35,190.0,85.0,0,1,1634,13,11,4,0,22,0.37142857142857144,0.11428571428571428,0.6285714285714286,46.68571428571428,Medium,Medium,0.0
Chris Basham,Sheffield United,Defender,32,87,190.0,80.0,1,4,2539,23,45,8,0,58,0.26436781609195403,0.09195402298850575,0.6666666666666666,29.183908045977013,Medium,Medium,0.011494252873563218
John Egan,Sheffield United,Defender,28,64,185.0,75.0,2,1,2320,17,34,10,2,62,0.265625,0.15625,0.96875,36.25,High,High,0.03125
Jack Robinson,Sheffield United,Defender,27,17,168.0,64.0,0,0,589,2,9,3,0,11,0.11764705882352941,0.17647058823529413,0.6470588235294118,34.64705882352941,High,Medium,0.0
Kean Bryan,Sheffield United,Defender,24,13,185.0,72.0,1,0,447,3,10,1,0,13,0.23076923076923078,0.07692307692307693,1.0,34.38461538461539,Medium,High,0.07692307692307693
Max Lowe,Sheffield United,Defender,24,8,175.0,74.0,0,0,172,1,6,1,0,10,0.125,0.125,1.25,21.5,Medium,High,0.0
