Name,Team,Positon,Age,Apps,HeightCM,WeightKG,Goals,Assists,Passes,Wins,Losses,Yellowcards,Redcards,Fouls,Wins_ratio,Yellowcardsd_ratio,Fouls_ratio,Passes_ratio,Ycards_ratio_dicretized,Fouls_ratio_dicretized,Goals_ratio
Conor Townsend,West Bromwich Albion,Defender,28,22,168.0,62.0,0,2,828,4,10,0,0,15,0.18181818181818182,0.0,0.6818181818181818,37.63636363636363,Low,Medium,0.0
Dara O'Shea,West Bromwich Albion,Defender,22,27,188.0,73.45,0,0,786,4,15,3,0,13,0.14814814814814814,0.1111111111111111,0.48148148148148145,29.11111111111111,Medium,Low,0.0
Lee Peltier,West Bromwich Albion,Defender,34,24,178.0,73.0,0,0,407,7,14,5,0,19,0.2916666666666667,0.20833333333333334,0.7916666666666666,16.958333333333332,High,Medium,0.0
Branislav Ivanovic,West Bromwich Albion,Defender,37,274,185.0,80.0,22,20,10188,155,57,57,2,304,0.5656934306569343,0.20802919708029197,1.1094890510948905,37.18248175182482,High,High,0.08029197080291971
George Harmon,West Bromwich Albion,Defender,20,0,178.55,71.85714285714286,0,0,0,0,0,0,0,0,,,,,,,
Caleb Taylor,West Bromwich Albion,Defender,20,0,178.55,71.85714285714286,0,0,0,0,0,0,0,0,,,,,,,
Caleb Taylor,West Bromwich Albion,Defender,20,0,178.55,71.85714285714286,0,0,0,0,0,0,0,0,,,,,,,
Jake Livermore,West Bromwich Albion,Midfielder,31,195,181.0,91.0,7,9,7135,54,94,32,2,223,0.27692307692307694,0.1641025641025641,1.1435897435897435,36.58974358974359,High,High,0.035897435897435895
Matt Phillips,West Bromwich Albion,Midfielder,30,139,185.0,75.0,12,23,2238,32,69,7,0,81,0.2302158273381295,0.050359712230215826,0.5827338129496403,16.100719424460433,Low,Medium,0.08633093525179857
Kamil Grosicki,West Bromwich Albion,Midfielder,32,18,180.0,78.0,0,5,291,5,9,1,0,13,0.2777777777777778,0.05555555555555555,0.7222222222222222,16.166666666666668,Low,Medium,0.0
Romaine Sawyers,West Bromwich Albion,Midfielder,32,19,184.25,78.15,0,0,720,2,13,2,0,18,0.10526315789473684,0.10526315789473684,0.9473684210526315,37.89473684210526,Medium,High,0.0
Kyle Edwards,West Bromwich Albion,Midfielder,23,5,172.0,64.0,0,0,34,0,4,0,0,1,0.0,0.0,0.2,6.8,Low,Low,0.0
Grady Diangana,West Bromwich Albion,Midfielder,23,34,180.0,73.0,1,1,543,8,19,0,0,15,0.23529411764705882,0.0,0.4411764705882353,15.970588235294118,Low,Low,0.029411764705882353
Conor Gallagher,West Bromwich Albion,Midfielder,21,27,182.0,74.0,2,2,811,3,14,10,0,38,0.1111111111111111,0.37037037037037035,1.4074074074074074,30.037037037037038,High,High,0.07407407407407407
Robert Snodgrass,West Bromwich Albion,Midfielder,33,171,182.0,82.0,26,23,4851,45,83,32,0,207,0.2631578947368421,0.1871345029239766,1.2105263157894737,28.36842105263158,High,High,0.15204678362573099
Okay Yokuslu,West Bromwich Albion,Midfielder,27,13,190.0,79.0,0,1,442,3,5,3,0,21,0.23076923076923078,0.23076923076923078,1.6153846153846154,34.0,High,High,0.0
Ainsley Maitland-Niles,West Bromwich Albion,Midfielder,23,76,177.0,71.0,1,3,2422,33,23,8,2,49,0.4342105263157895,0.10526315789473684,0.6447368421052632,31.86842105263158,Medium,Medium,0.013157894736842105
Rico Richards,West Bromwich Albion,Midfielder,17,0,183.0,72.5,0,0,0,0,0,0,0,0,,,,,,,
Hal Robson-Kanu,West Bromwich Albion,Forward,31,91,183.0,83.0,12,3,723,20,48,7,1,88,0.21978021978021978,0.07692307692307693,0.967032967032967,7.945054945054945,Medium,High,0.13186813186813187
Matheus Pereira,West Bromwich Albion,Forward,25,31,175.0,69.0,10,5,882,5,16,2,1,30,0.16129032258064516,0.06451612903225806,0.967741935483871,28.451612903225808,Medium,High,0.3225806451612903
Callum Robinson,West Bromwich Albion,Forward,26,47,178.0,75.0,6,1,528,7,24,1,0,14,0.14893617021276595,0.02127659574468085,0.2978723404255319,11.23404255319149,Low,Low,0.1276595744680851
Karlan Grant,West Bromwich Albion,Forward,23,31,180.0,70.0,5,0,422,2,21,1,0,17,0.06451612903225806,0.03225806451612903,0.5483870967741935,13.612903225806452,Low,Low,0.16129032258064516
Cheikh Diaby,West Bromwich Albion,Forward,21,0,179.64,74.0,0,0,0,0,0,0,0,0,,,,,,,
Mbaye Diagne,West Bromwich Albion,Forward,29,15,191.0,86.0,3,2,235,3,6,2,0,17,0.2,0.13333333333333333,1.1333333333333333,15.666666666666666,High,High,0.2
Taylor Gardner-Hickman,West Bromwich Albion,Forward,29,0,182.97777777777782,77.17777777777778,0,0,0,0,0,0,0,0,,,,,,,
Taylor Gardner-Hickman,West Bromwich Albion,Forward,29,0,182.97777777777782,77.17777777777778,0,0,0,0,0,0,0,0,,,,,,,
Lukasz Fabianski,West Ham United,Goalkeeper,36,278,190.0,83.0,0,2,7099,107,112,6,1,7,0.38489208633093525,0.02158273381294964,0.025179856115107913,25.535971223021583,Low,Low,0.0
David Martin,West Ham United,Goalkeeper,35,5,185.0,85.0,0,0,111,2,3,1,0,0,0.4,0.2,0.0,22.2,High,Low,0.0
Darren Randolph,West Ham United,Goalkeeper,34,33,188.0,98.0,0,0,878,11,15,1,0,0,0.3333333333333333,0.030303030303030304,0.0,26.606060606060606,Low,Low,0.0
Nathan Trott,West Ham United,Goalkeeper,22,0,184.0,70.0,0,0,0,0,0,0,0,0,,,,,,,
Aaron Cresswell,West Ham United,Defender,31,222,170.0,66.0,8,25,8412,78,82,26,1,101,0.35135135135135137,0.11711711711711711,0.45495495495495497,37.891891891891895,Medium,Low,0.036036036036036036
FabiÃ¡n Balbuena,West Ham United,Defender,29,54,188.0,82.0,3,0,1817,22,23,5,1,37,0.4074074074074074,0.09259259259259259,0.6851851851851852,33.648148148148145,Medium,Medium,0.05555555555555555
Angelo Ogbonna,West Ham United,Defender,32,161,191.0,86.0,6,1,5508,58,59,20,0,113,0.36024844720496896,0.12422360248447205,0.7018633540372671,34.2111801242236,Medium,Medium,0.037267080745341616
Issa Diop,West Ham United,Defender,24,81,194.0,92.0,6,1,2689,30,34,15,0,57,0.37037037037037035,0.18518518518518517,0.7037037037037037,33.19753086419753,High,Medium,0.07407407407407407
Ryan Fredericks,West Ham United,Defender,28,56,181.0,74.0,2,4,1518,17,27,14,0,45,0.30357142857142855,0.25,0.8035714285714286,27.107142857142858,High,Medium,0.03571428571428571
Arthur Masuaku,West Ham United,Defender,28,92,182.61538461538458,77.02564102564101,0,8,3010,33,35,14,1,82,0.358695652173913,0.15217391304347827,0.8913043478260869,32.71739130434783,High,High,0.0
Ben Johnson,West Ham United,Defender,21,18,175.0,67.0,1,0,319,9,6,1,0,14,0.5,0.05555555555555555,0.7777777777777778,17.72222222222222,Low,Medium,0.05555555555555555
Harrison Ashby,West Ham United,Defender,19,0,179.58823529411762,69.38461538461539,0,0,0,0,0,0,0,0,,,,,,,
Vladimir Coufal,West Ham United,Defender,19,32,179.58823529411762,69.38461538461539,0,6,1229,16,9,3,0,29,0.5,0.09375,0.90625,38.40625,Medium,High,0.0
Craig Dawson,West Ham United,Defender,31,202,188.0,82.0,17,2,6169,58,89,34,1,197,0.2871287128712871,0.16831683168316833,0.9752475247524752,30.53960396039604,High,High,0.08415841584158416
Frederik Alves,West Ham United,Defender,21,0,189.0,84.0,0,0,0,0,0,0,0,0,,,,,,,
Jamal Baptiste,West Ham United,Defender,17,0,183.0,72.5,0,0,0,0,0,0,0,0,,,,,,,
Manuel Lanzini,West Ham United,Midfielder,28,139,167.0,59.0,21,14,5466,46,55,20,0,57,0.33093525179856115,0.14388489208633093,0.41007194244604317,39.32374100719424,High,Low,0.1510791366906475
Mark Noble,West Ham United,Midfielder,34,402,180.0,70.0,46,35,18248,141,163,82,5,387,0.35074626865671643,0.20398009950248755,0.9626865671641791,45.39303482587065,High,High,0.11442786069651742
Pablo Fornals,West Ham United,Midfielder,25,67,178.0,67.0,5,8,1832,26,27,6,0,40,0.3880597014925373,0.08955223880597014,0.5970149253731343,27.34328358208955,Medium,Medium,0.07462686567164178
Declan Rice,West Ham United,Midfielder,22,129,185.0,76.0,4,4,5277,47,50,13,0,83,0.3643410852713178,0.10077519379844961,0.6434108527131783,40.906976744186046,Medium,Medium,0.031007751937984496
Conor Coventry,West Ham United,Midfielder,21,0,177.0,74.0,0,0,0,0,0,0,0,0,,,,,,,
Tomas Soucek,West Ham United,Midfielder,21,49,179.64,74.0,12,1,1913,20,17,7,1,76,0.40816326530612246,0.14285714285714285,1.5510204081632653,39.04081632653061,High,High,0.24489795918367346
Nathan Holland,West Ham United,Midfielder,22,2,178.0,70.0,0,0,11,0,2,0,0,0,0.0,0.0,0.0,5.5,Low,Low,0.0
Jesse Lingard,West Ham United,Midfielder,28,147,175.0,62.0,27,13,4111,75,35,18,0,160,0.5102040816326531,0.12244897959183673,1.08843537414966,27.965986394557824,Medium,High,0.1836734693877551
Michail Antonio,West Ham United,Forward,31,157,180.0,82.0,45,19,3082,58,60,17,1,176,0.36942675159235666,0.10828025477707007,1.1210191082802548,19.630573248407643,Medium,High,0.28662420382165604
Andriy Yarmolenko,West Ham United,Forward,31,47,189.0,81.0,7,2,741,14,19,7,0,32,0.2978723404255319,0.14893617021276595,0.6808510638297872,15.76595744680851,High,Medium,0.14893617021276595
Jarrod Bowen,West Ham United,Forward,24,56,175.0,70.0,9,9,890,21,24,0,0,21,0.375,0.0,0.375,15.892857142857142,Low,Low,0.16071428571428573
Emmanuel Longelo,West Ham United,Forward,20,0,178.55,71.85714285714286,0,0,0,0,0,0,0,0,,,,,,,
Ademipo Odubeko,West Ham United,Forward,18,0,184.0,74.0,0,0,0,0,0,0,0,0,,,,,,,
SaÃ¯d Benrahma,West Ham United,Forward,25,28,172.0,67.0,1,5,457,14,9,0,0,14,0.5,0.0,0.5,16.321428571428573,Low,Low,0.03571428571428571
Rui PatrÃ­cio,Wolverhampton Wanderers,Goalkeeper,33,110,190.0,84.0,0,0,2130,42,36,1,0,0,0.38181818181818183,0.00909090909090909,0.0,19.363636363636363,Low,Low,0.0
John Ruddy,Wolverhampton Wanderers,Goalkeeper,34,120,193.0,97.0,0,0,2583,33,55,3,1,1,0.275,0.025,0.008333333333333333,21.525,Low,Low,0.0
Andreas SÃ¶ndergaard,Wolverhampton Wanderers,Goalkeeper,20,0,189.0,71.85714285714286,0,0,0,0,0,0,0,0,,,,,,,
Willy Boly,Wolverhampton Wanderers,Defender,20,77,178.55,71.85714285714286,5,2,3620,31,25,4,2,67,0.4025974025974026,0.05194805194805195,0.8701298701298701,47.01298701298701,Low,High,0.06493506493506493
Conor Coady,Wolverhampton Wanderers,Defender,28,111,185.0,73.0,1,0,5209,44,36,15,0,47,0.3963963963963964,0.13513513513513514,0.42342342342342343,46.927927927927925,High,Low,0.009009009009009009
Jonny,Wolverhampton Wanderers,Defender,27,75,175.0,70.0,3,3,2344,29,21,10,0,64,0.38666666666666666,0.13333333333333333,0.8533333333333334,31.253333333333334,High,Medium,0.04
Maximilian Kilman,Wolverhampton Wanderers,Defender,23,21,182.63888888888889,73.67647058823529,0,1,785,9,5,4,0,21,0.42857142857142855,0.19047619047619047,1.0,37.38095238095238,High,High,0.0
MarÃ§al,Wolverhampton Wanderers,Defender,32,12,178.0,74.0,0,0,293,6,4,2,0,10,0.5,0.16666666666666666,0.8333333333333334,24.416666666666668,High,Medium,0.0
Ki-Jana Hoever,Wolverhampton Wanderers,Defender,19,11,180.0,65.0,0,0,252,2,6,1,0,4,0.18181818181818182,0.09090909090909091,0.36363636363636365,22.90909090909091,Medium,Low,0.0
NÃ©lson Semedo,Wolverhampton Wanderers,Defender,27,31,177.0,67.0,0,1,1432,10,12,4,0,37,0.3225806451612903,0.12903225806451613,1.1935483870967742,46.193548387096776,Medium,High,0.0
Rayan AÃ¯t-Nouri,Wolverhampton Wanderers,Defender,19,19,179.0,70.0,1,1,540,5,8,0,0,11,0.2631578947368421,0.0,0.5789473684210527,28.42105263157895,Low,Medium,0.05263157894736842
Nigel Lonwijk,Wolverhampton Wanderers,Defender,18,0,188.0,74.0,0,0,0,0,0,0,0,0,,,,,,,
Hugo Bueno,Wolverhampton Wanderers,Defender,18,0,180.0,74.0,0,0,0,0,0,0,0,0,,,,,,,
Hugo Bueno,Wolverhampton Wanderers,Defender,18,0,180.0,73.0,0,0,0,0,0,0,0,0,,,,,,,
Lewis Richards,Wolverhampton Wanderers,Defender,19,0,179.58823529411762,69.38461538461539,0,0,0,0,0,0,0,0,,,,,,,
Christian Marques,Wolverhampton Wanderers,Defender,18,0,187.0,74.0,0,0,0,0,0,0,0,0,,,,,,,
RÃºben Neves,Wolverhampton Wanderers,Midfielder,24,106,180.0,72.0,11,6,5770,40,35,24,0,107,0.37735849056603776,0.22641509433962265,1.009433962264151,54.43396226415094,High,High,0.10377358490566038
Daniel Podence,Wolverhampton Wanderers,Midfielder,25,33,165.0,58.0,4,2,696,14,10,3,0,19,0.42424242424242425,0.09090909090909091,0.5757575757575758,21.09090909090909,Medium,Medium,0.12121212121212122
Romain SaÃ¯ss,Wolverhampton Wanderers,Midfielder,31,77,190.0,80.0,7,1,3668,31,26,19,1,94,0.4025974025974026,0.24675324675324675,1.2207792207792207,47.63636363636363,High,High,0.09090909090909091
JoÃ£o Moutinho,Wolverhampton Wanderers,Midfielder,34,106,170.0,61.0,3,15,5253,42,33,14,1,133,0.39622641509433965,0.1320754716981132,1.2547169811320755,49.556603773584904,Medium,High,0.02830188679245283
Leander Dendoncker,Wolverhampton Wanderers,Midfielder,26,87,188.0,76.0,7,0,3057,37,25,9,0,72,0.42528735632183906,0.10344827586206896,0.8275862068965517,35.13793103448276,Medium,Medium,0.08045977011494253
Vitinha,Wolverhampton Wanderers,Midfielder,21,17,172.0,64.0,0,1,307,5,8,0,0,8,0.29411764705882354,0.0,0.47058823529411764,18.058823529411764,Low,Low,0.0
Morgan Gibbs-White,Wolverhampton Wanderers,Midfielder,21,41,171.0,74.0,1,1,537,15,17,1,0,12,0.36585365853658536,0.024390243902439025,0.2926829268292683,13.097560975609756,Low,Low,0.024390243902439025
Taylor Perry,Wolverhampton Wanderers,Midfielder,19,0,179.58823529411762,69.38461538461539,0,0,0,0,0,0,0,0,,,,,,,
Owen Otasowie,Wolverhampton Wanderers,Midfielder,20,6,183.0,82.0,0,1,59,1,2,1,0,3,0.16666666666666666,0.16666666666666666,0.5,9.833333333333334,High,Low,0.0
Luke Cundle,Wolverhampton Wanderers,Midfielder,19,0,179.58823529411762,69.38461538461539,0,0,0,0,0,0,0,0,,,,,,,
Pedro Neto,Wolverhampton Wanderers,Forward,21,60,172.0,69.0,8,9,1368,23,19,7,0,38,0.38333333333333336,0.11666666666666667,0.6333333333333333,22.8,Medium,Medium,0.13333333333333333
RaÃºl JimÃ©nez,Wolverhampton Wanderers,Forward,30,86,190.0,76.0,34,13,2309,36,25,7,0,90,0.4186046511627907,0.08139534883720931,1.0465116279069768,26.848837209302324,Medium,High,0.3953488372093023
Adama TraorÃ©,Wolverhampton Wanderers,Forward,25,137,178.0,72.0,7,14,2037,38,59,8,0,123,0.2773722627737226,0.058394160583941604,0.8978102189781022,14.86861313868613,Medium,High,0.051094890510948905
FÃ¡bio Silva,Wolverhampton Wanderers,Forward,18,29,185.0,75.0,4,2,258,9,14,2,0,18,0.3103448275862069,0.06896551724137931,0.6206896551724138,8.89655172413793,Medium,Medium,0.13793103448275862
Theo Corbeanu,Wolverhampton Wanderers,Forward,18,0,184.0,74.0,0,0,0,0,0,0,0,0,,,,,,,
Willian JosÃ©,Wolverhampton Wanderers,Forward,29,14,189.0,93.0,1,0,268,6,4,0,0,8,0.42857142857142855,0.0,0.5714285714285714,19.142857142857142,Low,Low,0.07142857142857142
Leonardo Campana,Wolverhampton Wanderers,Forward,20,0,187.0,79.0,0,0,0,0,0,0,0,0,,,,,,,
